person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
47.0,male,Bachelor,29958.61,13,OTHER,4923.19,EDUCATION,15.32,0.16,21.0,608,Yes,0
52.0,female,Master,103953.94,4,RENT,35000.0,EDUCATION,15.38,0.34,19.0,608,No,1
31.0,male,Bachelor,51507.44,13,OWN,17642.82,HOMEIMPROVEMENT,16.54,0.34,6.0,501,Yes,0
46.0,male,Master,76598.94,13,RENT,12694.67,MEDICAL,14.87,0.17,15.0,633,No,0
44.0,female,Associate,44134.42,3,RENT,12462.46,EDUCATION,15.61,0.28,18.0,588,No,0
53.0,male,High School,25400.97,0,OWN,7440.94,HOMEIMPROVEMENT,12.74,0.29,16.0,595,Yes,0
45.0,female,Associate,62234.42,5,RENT,11016.94,VENTURE,17.61,0.18,10.0,536,Yes,0
49.0,male,Bachelor,88015.69,21,MORTGAGE,23753.07,MEDICAL,14.69,0.27,18.0,572,Yes,0
48.0,female,Master,88902.89,10,MORTGAGE,17724.34,EDUCATION,19.22,0.2,8.0,542,Yes,0
53.0,male,Bachelor,28660.25,18,RENT,3639.07,PERSONAL,15.48,0.13,15.0,588,Yes,0
43.0,male,Associate,32527.45,4,OTHER,4501.33,MEDICAL,16.09,0.14,9.0,493,Yes,0
57.0,female,Associate,49540.98,36,RENT,7847.76,VENTURE,14.6,0.16,24.0,668,Yes,1
41.0,male,Doctorate,236778.49,23,RENT,35000.0,EDUCATION,9.06,0.15,16.0,741,No,1
50.0,male,High School,21522.94,31,RENT,5594.11,MEDICAL,17.5,0.26,21.0,545,No,0
48.0,male,High School,29359.95,19,OTHER,7849.51,HOMEIMPROVEMENT,15.15,0.27,9.0,547,No,0
69.0,male,Bachelor,86399.04,5,OWN,30504.35,EDUCATION,15.47,0.35,16.0,605,Yes,0
